1688051315333900,1688051315334047,146,
1688051358477525,1688051358477661,136,
1688051374487795,1688051374487940,145,
1688051390320140,1688051390320283,142,
1688051406211680,1688051406211823,143,
1688051422089429,1688051422089573,143,
1688051438025507,1688051438025655,148,
1688051453880815,1688051453880949,133,
1688051469723603,1688051469723743,140,
1688051485565723,1688051485565869,145,
1688051501433687,1688051501433834,147,
1688051517300885,1688051517301026,141,
1688051533176010,1688051533176148,137,
1688051549043864,1688051549043990,125,
1688051564885350,1688051564885490,139,
1688051580698908,1688051580699052,144,
1688051596583107,1688051596583245,138,
1688051612483662,1688051612483807,144,
1688051628361507,1688051628361652,145,
1688051644219986,1688051644220127,140,
1688051660088977,1688051660089116,138,
1688051675909288,1688051675909429,140,
1688051691738277,1688051691738411,133,
1688051707634954,1688051707635096,141,
1688051723479041,1688051723479191,149,
1688051739343371,1688051739343508,136,
1688051755192238,1688051755192381,142,
1688051771091317,1688051771091453,136,
1688051787034961,1688051787035107,146,
1688051802950189,1688051802950330,141,
1688051818783976,1688051818784120,143,
1688051834618359,1688051834618516,157,
1688051850495029,1688051850495173,143,
1688051866331433,1688051866331565,131,
1688051882169836,1688051882169999,162,
1688051898030235,1688051898030353,117,
1688051913872247,1688051913872387,140,
1688051929753597,1688051929753734,136,
1688051945602086,1688051945602262,175,
1688051961465644,1688051961465784,140,
1688051977339967,1688051977340107,140,
1688051993225045,1688051993225181,135,
1688052009112959,1688052009113101,141,
1688052024975471,1688052024975610,139,
1688052040823270,1688052040823412,142,
1688052056644212,1688052056644356,144,
1688052072464381,1688052072464521,140,
1688052088291167,1688052088291306,139,
1688052104151339,1688052104151516,176,
1688052120018195,1688052120018347,151,
1688052135927523,1688052135927662,139,
1688052151826128,1688052151826320,191,
1688052167696211,1688052167696348,136,
1688052183570584,1688052183570719,134,
1688052199440369,1688052199440514,144,
1688052215289755,1688052215289908,152,
1688052231155705,1688052231155847,141,
1688052247016224,1688052247016359,134,
1688052262885927,1688052262886072,144,
1688052278727684,1688052278727830,145,
1688052294649581,1688052294649721,140,
1688052310501936,1688052310502082,146,
1688052326354892,1688052326355044,152,
1688052342246633,1688052342246803,170,
1688052358155906,1688052358156049,143,
1688052374005604,1688052374005723,119,
1688052389866331,1688052389866470,139,
1688052405700401,1688052405700551,150,
1688052421550020,1688052421550163,142,
1688052437384105,1688052437384250,144,
1688052453268154,1688052453268297,143,
1688052469135808,1688052469135947,139,
1688052485033005,1688052485033151,145,
1688052500868928,1688052500869077,148,
1688052516714617,1688052516714755,137,
1688052532615934,1688052532616078,143,
1688052548490520,1688052548490657,137,
1688052564335543,1688052564335691,147,
1688052580200932,1688052580201073,140,
1688052596130132,1688052596130270,138,
1688052611978451,1688052611978600,148,
1688052627824433,1688052627824567,133,
1688052643700695,1688052643700828,132,
1688052659557095,1688052659557238,142,
1688052675384530,1688052675384669,138,
1688052691260356,1688052691260503,147,
1688052707124895,1688052707125038,142,
1688052723032477,1688052723032622,145,
1688052738938390,1688052738938528,138,
1688052754798440,1688052754798581,140,
1688052770697401,1688052770697539,137,
1688052786551066,1688052786551212,146,
1688052802443335,1688052802443476,141,
1688052818291693,1688052818291837,143,
1688052834109826,1688052834109988,161,
1688052849966358,1688052849966502,144,
1688052865806495,1688052865806633,138,
1688052881714960,1688052881715104,143,
1688052897615217,1688052897615360,143,
1688052913480626,1688052913480814,188,
1688052929326057,1688052929326197,140,
1688052945172456,1688052945172642,186,
1688052961019173,1688052961019357,184,
1688052976885462,1688052976885601,139,
1688052992792745,1688052992792885,140,
1688053008629392,1688053008629530,138,
1688053024525063,1688053024525220,157,
1688053040419744,1688053040419879,135,
1688053056304383,1688053056304523,140,
1688053072205148,1688053072205290,142,
1688053088058685,1688053088058822,137,
1688053103962422,1688053103962566,143,
1688053119821608,1688053119821750,142,
1688053135661373,1688053135661528,155,
1688053151511989,1688053151512139,150,
1688053167336352,1688053167336492,140,
1688053183180646,1688053183180782,136,
1688053199006062,1688053199006213,150,
1688053214905356,1688053214905498,141,
1688053230759887,1688053230760024,137,
1688053246592648,1688053246592793,145,
1688053262445284,1688053262445417,132,
1688053278274703,1688053278274844,141,
1688053294135060,1688053294135203,142,
1688053310045764,1688053310045922,157,
1688053325910610,1688053325910761,151,
1688053341772846,1688053341772986,140,
1688053357689073,1688053357689212,138,
1688053373580531,1688053373580668,137,
1688053389443489,1688053389443630,140,
1688053405323421,1688053405323563,142,
1688053421219071,1688053421219226,154,
1688053437120117,1688053437120264,147,
1688053453004090,1688053453004232,141,
1688053468859449,1688053468859587,138,
1688053484701450,1688053484701572,121,
1688053500566361,1688053500566508,147,
1688053516463735,1688053516463880,144,
1688053532312360,1688053532312504,144,
1688053548229829,1688053548229991,162,
1688053564066339,1688053564066481,141,
1688053579943428,1688053579943572,144,
1688053595820781,1688053595820921,139,
1688053611701343,1688053611701487,143,
1688053627545545,1688053627545684,138,
1688053643372114,1688053643372254,139,
1688053659208501,1688053659208639,137,
1688053675097851,1688053675098009,158,
1688053690969622,1688053690969763,141,
1688053706807603,1688053706807743,139,
1688053722721052,1688053722721192,139,
1688053738590499,1688053738590640,141,
1688053754499355,1688053754499498,143,
1688053770371467,1688053770371619,151,
1688053786233337,1688053786233481,143,
1688053802059414,1688053802059564,149,
1688053817974734,1688053817974869,135,
1688053833828736,1688053833828923,186,
1688053849679235,1688053849679372,137,
1688053865535690,1688053865535832,141,
1688053881363692,1688053881363835,142,
1688053897221628,1688053897221763,134,
1688053913076760,1688053913076901,140,
1688053928910826,1688053928910955,129,
1688053944785618,1688053944785743,124,
1688053960666907,1688053960667051,143,
1688053976511000,1688053976511141,140,
1688053992385690,1688053992385832,142,
1688054008296929,1688054008297071,142,
1688054024187504,1688054024187643,139,
1688054040091493,1688054040091611,117,
1688054055993958,1688054055994101,142,
1688054071896452,1688054071896600,147,
1688054087754356,1688054087754501,145,
1688054103639280,1688054103639422,142,
1688054119506933,1688054119507075,141,
1688054135332393,1688054135332550,157,
1688054151176989,1688054151177136,147,
1688054167043514,1688054167043710,195,
1688054182934360,1688054182934544,183,
1688054198793980,1688054198794114,133,
1688054214695027,1688054214695164,136,
1688054230610139,1688054230610279,140,
1688054246489129,1688054246489274,144,
1688054262366632,1688054262366772,140,
1688054278211295,1688054278211439,144,
1688054294083695,1688054294083834,139,
1688054309897483,1688054309897621,138,
1688054325797362,1688054325797506,143,
1688054341637880,1688054341638035,154,
1688054357523809,1688054357523950,140,
1688054373425714,1688054373425865,150,
1688054389294198,1688054389294345,146,
1688054405229420,1688054405229574,154,
1688054421308117,1688054421308252,135,
1688054437284100,1688054437284243,143,
1688054453210833,1688054453210972,138,
1688054469095060,1688054469095245,185,
1688054485046322,1688054485046470,148,
1688054500940312,1688054500940459,147,
1688054516845674,1688054516845820,145,
1688054532743441,1688054532743589,148,
1688054548638043,1688054548638183,140,
1688054564505196,1688054564505340,143,
1688054580425389,1688054580425533,143,
1688054596280948,1688054596281093,144,
1688054612182618,1688054612182765,147,
1688054628062847,1688054628062989,142,
1688054643990668,1688054643990809,141,
1688054659875942,1688054659876081,139,
1688054675784925,1688054675785097,171,
1688054691671477,1688054691671619,142,
