SIB1 additional size (bytes),Time duration to transmit (milliseconds),BelowThreshold,AboveThreshold
32,803.176,,803.176
64,810.142,,810.142
128,804.005,,804.005
255,802.737,802.737,
8,806.328,,806.328
16,809.043,,809.043
32,805.122,,805.122
64,783.042,783.042,
128,802.745,802.745,
255,806.027,,806.027
8,782.759,782.759,
16,803.704,,803.704
32,803.596,,803.596
64,780.819,780.819,
128,804.01,,804.01
255,781.594,781.594,
8,782.331,782.331,
16,805.801,,805.801
32,804.023,,804.023
64,805.889,,805.889
128,813.984,,813.984
255,804.409,,804.409
8,804.523,,804.523
16,801.852,801.852,
32,803.441,,803.441
64,779.446,779.446,
128,804.848,,804.848
255,803.904,,803.904
8,802.435,802.435,
16,804.201,,804.201
32,802.743,,802.743
64,808.561,,808.561
128,781.562,781.562,
255,805.019,,805.019
8,803.83,,803.83
16,782.487,782.487,
32,801.709,801.709,
64,803.838,,803.838
128,805.254,,805.254
255,804.88,,804.88
8,805.939,,805.939
16,781.333,781.333,
32,804.966,,804.966
64,782.19,782.19,
128,804.636,,804.636
255,804.546,,804.546
8,803.231,,803.231
16,804.21,,804.21
32,801.545,801.545,
64,804.953,,804.953
128,804.454,,804.454
255,804.17,,804.17
8,809.03,,809.03
16,804.029,,804.029
32,801.688,801.688,
64,800.736,800.736,
128,802.665,802.665,
255,779.981,779.981,
8,803.581,,803.581
16,803.653,,803.653
32,803.435,,803.435
64,802.984,802.984,
128,801.57,801.57,
255,802.542,802.542,
8,782.476,782.476,
16,803.761,,803.761
32,804.863,,804.863
64,783.614,783.614,
128,805.083,,805.083
255,783.123,783.123,
8,805.275,,805.275
16,784.605,784.605,
32,804.905,,804.905
64,780.414,780.414,
128,805.847,,805.847
255,799.997,799.997,
8,780.765,780.765,
16,806.544,,806.544
32,801.371,801.371,
64,802.658,802.658,
128,802.568,802.568,
255,805.334,,805.334
8,805.22,,805.22
16,804.269,,804.269
32,803.054,,803.054
64,806.056,,806.056
128,808.418,,808.418
255,803.729,,803.729
8,804.45,,804.45
16,803.682,,803.682
32,803.824,,803.824
64,801.899,801.899,
128,801.668,801.668,
255,780.977,780.977,
8,779.735,779.735,
16,779.994,779.994,
32,803.704,,803.704
64,781.291,781.291,
128,802.551,802.551,
255,806.121,,806.121
8,804.625,,804.625
16,802.472,,802.472
32,808.51,,808.51
64,805.443,,805.443
128,779.696,779.696,
255,801.752,801.752,
8,783.285,783.285,
16,803.189,,803.189
32,805.776,,805.776
64,806.122,,806.122
128,809.296,,809.296
255,803.522,,803.522
8,805.943,,805.943
16,804.12,,804.12
32,779.418,779.418,
64,801.581,801.581,
128,804.979,,804.979
255,802.864,,802.864
8,801.826,801.826,
16,805.001,,805.001
32,807.357,,807.357
64,803.893,,803.893
128,781.259,781.259,
255,804.465,,804.465
8,797.89,797.89,
16,803.004,,803.004
32,803.213,,803.213
64,807.739,,807.739
128,799.379,799.379,
255,804.857,,804.857
8,781.773,781.773,
16,802.251,,802.251
32,782.748,782.748,
64,805.062,,805.062
128,781.86,781.86,
255,802.414,802.414,
8,805.08,,805.08
16,806.005,,806.005
32,780.179,780.179,
64,805.682,,805.682
128,805.58,,805.58
255,782.359,782.359,
8,808.882,,808.882
16,780.062,780.062,
32,780.713,780.713,
64,802.45,802.45,
128,805.128,,805.128
255,802.81,,802.81
8,802.671,802.671,
16,806.885,,806.885
32,801.238,801.238,
64,805.793,,805.793
128,805.374,,805.374
255,805.379,,805.379
8,802.661,802.661,
16,797.874,797.874,
32,804.197,,804.197
64,804.795,,804.795
128,807.631,,807.631
255,803.98,,803.98
8,782.511,782.511,
16,804.895,,804.895
32,805.997,,805.997
64,803.733,,803.733
128,805.258,,805.258
255,805.672,,805.672
8,803.095,,803.095
16,803.321,,803.321
32,802.956,,802.956
64,805.554,,805.554
128,802.307,802.307,
255,803.513,,803.513
8,804.669,,804.669
16,805.925,,805.925
32,805.996,,805.996
64,780.789,780.789,
128,779.832,779.832,
255,804.224,,804.224
8,803.156,,803.156
16,802.839,,802.839
32,795.977,795.977,
64,802.718,802.718,
128,781.7,781.7,
255,802.56,802.56,
8,806.467,,806.467
16,807.916,,807.916
32,804.072,,804.072
64,780.319,780.319,
128,801.395,801.395,
255,808.102,,808.102
8,802.067,802.067,
16,801.695,801.695,
32,806.168,,806.168
64,803.689,,803.689
128,777.479,777.479,
255,805.955,,805.955
8,806.455,,806.455
16,805.132,,805.132
32,799.739,799.739,
64,804.272,,804.272
128,807.082,,807.082
255,780.215,780.215,
8,801.316,801.316,
16,805.185,,805.185
32,803.336,,803.336
64,803.694,,803.694
128,800.901,800.901,
255,809.01,,809.01
8,805.847,,805.847
16,804.89,,804.89
32,802.041,802.041,
64,804.278,,804.278
128,801.357,801.357,
255,804.046,,804.046
8,803.265,,803.265
16,807.102,,807.102
32,778.929,778.929,
64,805.45,,805.45
128,803.531,,803.531
255,805.195,,805.195
8,801.625,801.625,
16,803.993,,803.993
32,805.359,,805.359
64,804.108,,804.108
128,807.973,,807.973
255,805.203,,805.203
8,811.756,,811.756
16,803.311,,803.311
32,802.702,,802.702
64,805.636,,805.636
128,781.208,781.208,
255,804.398,,804.398
8,805.85,,805.85
16,804.716,,804.716
32,806.18,,806.18
64,803.51,,803.51
128,805.115,,805.115
255,804.997,,804.997
8,805.238,,805.238
16,805.573,,805.573
32,782.048,782.048,
64,804.639,,804.639
128,802.686,802.686,
255,804.064,,804.064
8,803.343,,803.343
16,809.322,,809.322
32,802.195,802.195,
64,806.578,,806.578
128,802.505,802.505,
255,808.097,,808.097
8,805.782,,805.782
16,806.791,,806.791
32,780.246,780.246,
64,803.01,803.01,
128,778.444,778.444,
255,803.47,,803.47
8,805.532,,805.532
16,804.36,,804.36
32,803.088,,803.088
64,797.939,797.939,
128,803.377,,803.377
255,804.141,,804.141
8,781.249,781.249,
16,804.939,,804.939
32,782.727,782.727,
64,802.708,802.708,
128,804.041,,804.041
255,781.909,781.909,
8,802.808,802.808,
16,802.309,,802.309
32,779.117,779.117,
64,807.445,,807.445
128,778.691,778.691,
255,803.736,,803.736
8,807.089,,807.089
16,780.857,780.857,
32,806.832,,806.832
64,803.171,803.171,
128,804.933,,804.933
255,781.114,781.114,
8,800.704,800.704,
16,803.858,,803.858
32,803.46,,803.46
64,802.009,802.009,
128,780.107,780.107,
255,798.917,798.917,
8,800.253,800.253,
16,804.108,,804.108
32,777.208,777.208,
64,807.146,,807.146
128,806.502,,806.502
255,803.697,,803.697
8,803.282,,803.282
16,801.94,801.94,
32,795.92,795.92,
64,800.342,800.342,
128,806.046,,806.046
255,804.434,,804.434
8,780.738,780.738,
16,774.692,774.692,
32,801.004,801.004,
64,804.01,,804.01
128,806.888,,806.888
255,798.299,798.299,
8,802.675,802.675,
16,804.861,,804.861
32,805.99,,805.99
64,799.811,799.811,
128,805.58,,805.58
255,803.435,,803.435
8,802.079,802.079,
16,802.067,,802.067
32,804.281,,804.281
64,805.837,,805.837
128,803.309,,803.309
255,806.304,,806.304
8,804.589,,804.589
16,809.02,,809.02
32,803.857,,803.857
64,806.447,,806.447
128,783.212,783.212,
255,779.385,779.385,
8,804.846,,804.846
16,800.927,800.927,
32,802.563,,802.563
64,804.714,,804.714
128,802.315,802.315,
255,805.624,,805.624
8,802.231,802.231,
16,797.539,797.539,
32,774.078,774.078,
64,798.279,798.279,
128,801.382,801.382,
255,802.168,802.168,
8,807.1,,807.1
16,806.803,,806.803
32,797.669,797.669,
64,781.573,781.573,
128,804.795,,804.795
255,802.329,802.329,
8,803.834,,803.834
16,804.476,,804.476
32,806.752,,806.752
64,803.931,,803.931
128,796.626,796.626,
255,803.708,,803.708
8,802.53,802.53,
16,805.541,,805.541
32,781.214,781.214,
64,778.689,778.689,
128,812.876,,812.876
255,806.527,,806.527
8,803.848,,803.848
16,804.663,,804.663
32,804.253,,804.253
64,779.753,779.753,
128,804.89,,804.89
255,802.317,802.317,
8,805.526,,805.526
16,803.157,,803.157
32,803.347,,803.347
64,780.552,780.552,
128,803.859,,803.859
255,803.477,,803.477
8,805.928,,805.928
16,800.104,800.104,
32,805.866,,805.866
64,782.579,782.579,
128,805.558,,805.558
255,804.362,,804.362
8,799.894,799.894,
16,806.293,,806.293
32,800.942,800.942,
64,805.617,,805.617
128,803.548,,803.548
255,802.459,802.459,
8,802.743,802.743,
16,801.628,801.628,
32,800.745,800.745,
64,801.714,801.714,
128,796.802,796.802,
255,804.145,,804.145
8,806.222,,806.222
16,804.844,,804.844
32,806.763,,806.763
64,800.234,800.234,
128,781.576,781.576,
255,802.075,802.075,
8,806.254,,806.254
16,776.236,776.236,
32,803.937,,803.937
64,779.198,779.198,
128,803.292,,803.292
255,803.947,,803.947
8,805.528,,805.528
16,803.971,,803.971
32,801.472,801.472,
64,808.369,,808.369
128,804.425,,804.425
255,804.595,,804.595
8,806.778,,806.778
16,804.821,,804.821
32,810.347,,810.347
64,804.64,,804.64
128,804.847,,804.847
255,806.881,,806.881
8,803.535,,803.535
16,803.402,,803.402
32,780.585,780.585,
64,804.831,,804.831
128,804.534,,804.534
255,804.27,,804.27
8,807.173,,807.173
16,794.514,794.514,
32,807.716,,807.716
64,779.229,779.229,
128,805.548,,805.548
255,802.745,802.745,
8,803.56,,803.56
16,776.539,776.539,
32,805.385,,805.385
64,802.438,802.438,
128,802.726,802.726,
255,805.375,,805.375
8,798.409,798.409,
16,805.264,,805.264
32,804.373,,804.373
64,779.621,779.621,
128,805.55,,805.55
255,780.635,780.635,
8,804.23,,804.23
16,802.492,,802.492
32,801.939,801.939,
64,778.462,778.462,
128,800.685,800.685,
255,804.308,,804.308
8,803.504,,803.504
16,803.909,,803.909
32,805.259,,805.259
64,809.18,,809.18
128,803.242,,803.242
255,782.177,782.177,
8,803.221,,803.221
16,804.406,,804.406
32,779.509,779.509,
64,808.488,,808.488
128,803.907,,803.907
255,801.421,801.421,
8,805.265,,805.265
16,802.271,,802.271
32,804.34,,804.34
64,803.993,,803.993
128,807.918,,807.918
255,805.049,,805.049
8,778.776,778.776,
16,778.198,778.198,
32,804.448,,804.448
64,776.945,776.945,
128,803.473,,803.473
255,805.833,,805.833
8,802.612,802.612,
16,772.49,772.49,
32,802.65,,802.65
64,807.812,,807.812
128,805.758,,805.758
255,800.685,800.685,
8,806.136,,806.136
16,802.647,,802.647
32,802.732,,802.732
64,802.289,802.289,
128,804.235,,804.235
255,805.594,,805.594
8,803.795,,803.795
16,802.138,,802.138
32,805.265,,805.265
64,804.01,,804.01
128,804.973,,804.973
255,803.156,,803.156
8,803.824,,803.824
16,803.446,,803.446
32,800.599,800.599,
64,804.583,,804.583
128,803.936,,803.936
255,799.98,799.98,
8,802.963,802.963,
16,806.364,,806.364
32,802.832,,802.832
64,804.783,,804.783
128,807.586,,807.586
255,803.527,,803.527
8,803.555,,803.555
16,802.578,,802.578
32,803.539,,803.539
64,807.903,,807.903
128,782.732,782.732,
255,779.87,779.87,
8,799.247,799.247,
16,804.409,,804.409
32,810.325,,810.325
64,804.245,,804.245
128,804.373,,804.373
255,808.404,,808.404
8,802.821,802.821,
16,796.367,796.367,
32,800.99,800.99,
64,801.204,801.204,
128,808.681,,808.681
255,801.746,801.746,
8,779.312,779.312,
16,798.693,798.693,
32,795.401,795.401,
64,781.331,781.331,
128,805.236,,805.236
255,806.189,,806.189
8,782.164,782.164,
16,802.739,,802.739
32,806.447,,806.447
64,804.995,,804.995
128,779.087,779.087,
255,805.687,,805.687
8,802.14,802.14,
16,802.455,,802.455
32,798.004,798.004,
64,802.838,802.838,
128,802.169,802.169,
255,805.042,,805.042
8,804.5,,804.5
16,779.257,779.257,
32,805.228,,805.228
64,802.301,802.301,
128,797.978,797.978,
255,803.778,,803.778
8,804.41,,804.41
16,805.204,,805.204
32,801.549,801.549,
64,803.584,,803.584
128,803.049,,803.049
255,805.829,,805.829
8,782.178,782.178,
16,802.102,,802.102
32,780.385,780.385,
64,783.534,783.534,
128,803.97,,803.97
255,798.297,798.297,
8,779.25,779.25,
16,804.333,,804.333
32,805.201,,805.201
64,804.849,,804.849
128,803.914,,803.914
255,802.581,802.581,
8,803.985,,803.985
16,802.783,,802.783
32,780.385,780.385,
64,782.039,782.039,
128,803.491,,803.491
255,785.839,785.839,
8,801.517,801.517,
16,802.635,,802.635
32,802.87,,802.87
64,805.58,,805.58
128,802.534,802.534,
255,806.366,,806.366
8,781.05,781.05,
16,781.519,781.519,
32,804.381,,804.381
64,807.209,,807.209
128,804.281,,804.281
255,802.497,802.497,
8,804.173,,804.173
16,804.762,,804.762
32,782.497,782.497,
64,803.098,803.098,
128,806.475,,806.475
255,779.194,779.194,
8,804.128,,804.128
16,780.048,780.048,
32,795.51,795.51,
64,800.844,800.844,
128,805.912,,805.912
255,802.991,,802.991
8,802.418,802.418,
16,803.444,,803.444
32,804.117,,804.117
64,777.269,777.269,
128,781.011,781.011,
255,780.452,780.452,
8,778.386,778.386,
16,803.075,,803.075
32,803.515,,803.515
64,806.696,,806.696
128,799.379,799.379,
255,780.762,780.762,
8,799.723,799.723,
16,802.414,,802.414
32,803.088,,803.088
64,803.993,,803.993
128,804.301,,804.301
255,803.018,,803.018
8,802.63,802.63,
16,781.663,781.663,
32,802.731,,802.731
64,804.242,,804.242
128,801.572,801.572,
255,806.011,,806.011
8,805.671,,805.671
16,802.958,,802.958
32,806.204,,806.204
64,804.84,,804.84
128,805.736,,805.736
255,799.502,799.502,
8,804.712,,804.712
16,803.794,,803.794
32,801.619,801.619,
64,781.857,781.857,
128,780.42,780.42,
255,801.372,801.372,
8,803.309,,803.309
16,802.946,,802.946
32,805.096,,805.096
64,802.709,802.709,
128,801.355,801.355,
255,802.694,802.694,
8,802.698,802.698,
16,807.517,,807.517
32,804.443,,804.443
64,780.582,780.582,
128,779.017,779.017,
255,799.676,799.676,
8,802.559,802.559,
16,804.019,,804.019
32,780.576,780.576,
64,801.582,801.582,
128,803.319,,803.319
255,778.35,778.35,
8,801.95,801.95,
16,806.549,,806.549
32,803.387,,803.387
64,803.39,,803.39
128,805.894,,805.894
255,803.889,,803.889
8,804.314,,804.314
16,807.416,,807.416
32,803.777,,803.777
64,802.24,802.24,
128,807.58,,807.58
255,804.506,,804.506
8,804.631,,804.631
16,780.773,780.773,
32,804.539,,804.539
64,777.026,777.026,
128,800.44,800.44,
255,803.902,,803.902
8,806.664,,806.664
16,780.052,780.052,
32,805.193,,805.193
64,774.998,774.998,
128,783.881,783.881,
255,802.618,802.618,
8,781.366,781.366,
16,803.911,,803.911
32,803.98,,803.98
64,801.753,801.753,
128,781.735,781.735,
255,801.736,801.736,
8,781.08,781.08,
16,801.581,801.581,
32,780.597,780.597,
64,802.492,802.492,
128,803.279,,803.279
255,805.745,,805.745
8,802.983,,802.983
16,804.236,,804.236
32,803.598,,803.598
64,803.004,803.004,
128,803.362,,803.362
255,807.1,,807.1
8,810.631,,810.631
16,802.368,,802.368
32,801.329,801.329,
64,804.827,,804.827
128,806.119,,806.119
255,803.352,,803.352
8,802.399,802.399,
16,804.241,,804.241
32,807.19,,807.19
64,781.764,781.764,
128,801.296,801.296,
255,779.503,779.503,
8,805.416,,805.416
16,803.826,,803.826
32,804.071,,804.071
64,801.784,801.784,
128,803.664,,803.664
255,805.573,,805.573
8,807.691,,807.691
16,804.251,,804.251
32,781.716,781.716,
64,803.211,803.211,
128,804.167,,804.167
255,801.747,801.747,
8,802.672,802.672,
16,805.582,,805.582
32,805.623,,805.623
64,806.331,,806.331
128,784.722,784.722,
255,807.902,,807.902
8,803.563,,803.563
16,806.585,,806.585
32,807.21,,807.21
64,806.09,,806.09
128,802.603,802.603,
255,804.587,,804.587
8,803.843,,803.843
16,802.382,,802.382
32,803.144,,803.144
64,805.485,,805.485
128,802.65,802.65,
255,804.704,,804.704
8,805.17,,805.17
16,776.951,776.951,
32,806.104,,806.104
64,805.746,,805.746
128,807.303,,807.303
255,803.92,,803.92
8,805.315,,805.315
16,805.529,,805.529
32,781.839,781.839,
64,801.081,801.081,
128,782.088,782.088,
255,782.212,782.212,
8,808.384,,808.384
16,805.989,,805.989
32,801.334,801.334,
64,803.933,,803.933
128,803.067,,803.067
255,780.017,780.017,
8,802.25,802.25,
16,805.546,,805.546
32,802.965,,802.965
64,801.708,801.708,
128,805.361,,805.361
255,804.25,,804.25
8,779.782,779.782,
16,804.875,,804.875
32,803.636,,803.636
64,779.212,779.212,
128,805.914,,805.914
255,800.157,800.157,
8,801.728,801.728,
16,797.471,797.471,
32,783.986,783.986,
64,804.69,,804.69
128,802.744,802.744,
255,802.68,802.68,
8,803.612,,803.612
16,779.895,779.895,
32,803.524,,803.524
64,804.999,,804.999
128,778.686,778.686,
255,782.073,782.073,
8,804.795,,804.795
16,802.208,,802.208
32,802.932,,802.932
64,803.85,,803.85
128,777.728,777.728,
255,782.184,782.184,
8,800.097,800.097,
16,812.673,,812.673
32,803.804,,803.804
64,805.201,,805.201
128,798.484,798.484,
255,801.708,801.708,
8,780.457,780.457,
16,804.886,,804.886
32,779.174,779.174,
64,803.375,,803.375
128,808.664,,808.664
255,805.139,,805.139
8,799.762,799.762,
16,780.181,780.181,
32,805.466,,805.466
64,805.625,,805.625
128,804.407,,804.407
255,803.999,,803.999
8,804.371,,804.371
16,803.151,,803.151
32,795.644,795.644,
64,780.249,780.249,
128,779.237,779.237,
255,779.207,779.207,
8,802.497,802.497,
16,809.636,,809.636
32,806.602,,806.602
64,777.43,777.43,
128,803.525,,803.525
255,806.878,,806.878
8,780.095,780.095,
16,805.811,,805.811
32,804.888,,804.888
64,802.022,802.022,
128,802.22,802.22,
255,803.0,,803.0
8,805.124,,805.124
16,803.59,,803.59
32,806.487,,806.487
64,804.34,,804.34
128,777.828,777.828,
255,804.042,,804.042
8,802.253,802.253,
16,781.466,781.466,
32,803.318,,803.318
64,797.889,797.889,
128,803.428,,803.428
255,783.34,783.34,
8,779.493,779.493,
16,802.463,,802.463
32,779.077,779.077,
64,777.307,777.307,
128,800.455,800.455,
255,800.92,800.92,
8,804.682,,804.682
16,776.51,776.51,
32,802.166,802.166,
64,805.938,,805.938
128,802.284,802.284,
255,804.189,,804.189
8,803.058,,803.058
16,804.877,,804.877
32,805.356,,805.356
64,805.987,,805.987
128,802.642,802.642,
255,780.137,780.137,
8,801.244,801.244,
16,801.097,801.097,
32,803.023,,803.023
64,804.203,,804.203
128,800.632,800.632,
255,802.758,802.758,
8,803.822,,803.822
16,802.895,,802.895
32,803.688,,803.688
64,805.461,,805.461
128,802.256,802.256,
255,803.898,,803.898
8,805.798,,805.798
16,779.263,779.263,
32,799.836,799.836,
64,804.811,,804.811
128,803.735,,803.735
255,802.681,802.681,
8,804.573,,804.573
16,805.365,,805.365
32,807.442,,807.442
64,801.685,801.685,
128,781.811,781.811,
255,810.504,,810.504
8,781.03,781.03,
16,780.567,780.567,
32,804.805,,804.805
64,779.82,779.82,
128,803.438,,803.438
255,804.952,,804.952
8,803.03,,803.03
16,781.434,781.434,
32,802.378,802.378,
64,807.982,,807.982
128,801.701,801.701,
255,807.665,,807.665
8,803.467,,803.467
16,777.503,777.503,
32,803.35,,803.35
64,805.64,,805.64
128,803.82,,803.82
255,779.318,779.318,
8,805.689,,805.689
16,802.647,,802.647
32,804.448,,804.448
64,802.145,802.145,
128,780.478,780.478,
255,804.138,,804.138
8,803.841,,803.841
16,780.287,780.287,
32,780.532,780.532,
64,780.565,780.565,
128,802.831,,802.831
255,802.78,802.78,
8,804.491,,804.491
16,795.191,795.191,
32,802.562,,802.562
64,803.067,803.067,
128,799.388,799.388,
255,779.079,779.079,
8,804.285,,804.285
16,804.67,,804.67
32,806.441,,806.441
64,804.266,,804.266
128,804.177,,804.177
255,777.763,777.763,
8,806.16,,806.16
16,807.166,,807.166
32,778.311,778.311,
64,803.579,,803.579
128,803.973,,803.973
255,798.061,798.061,
8,801.509,801.509,
16,802.642,,802.642
32,803.298,,803.298
64,802.909,802.909,
128,806.821,,806.821
255,806.825,,806.825
8,803.319,,803.319
16,807.718,,807.718
32,797.273,797.273,
64,803.817,,803.817
128,804.315,,804.315
255,805.221,,805.221
8,804.212,,804.212
16,803.437,,803.437
32,801.982,801.982,
64,802.357,802.357,
128,801.317,801.317,
255,803.861,,803.861
8,802.84,802.84,
16,804.136,,804.136
32,802.492,,802.492
64,803.987,,803.987
128,803.644,,803.644
255,800.794,800.794,
8,800.604,800.604,
16,802.48,,802.48
32,803.805,,803.805
64,828.239,,828.239
128,802.258,802.258,
255,803.037,,803.037
8,803.802,,803.802
16,807.155,,807.155
32,804.721,,804.721
64,802.241,802.241,
128,803.55,,803.55
255,804.747,,804.747
8,801.192,801.192,
16,799.099,799.099,
32,801.768,801.768,
64,777.955,777.955,
128,804.402,,804.402
255,779.107,779.107,
8,808.085,,808.085
16,801.299,801.299,
32,804.305,,804.305
64,800.957,800.957,
128,800.608,800.608,
255,800.817,800.817,
8,805.306,,805.306
16,804.604,,804.604
32,803.226,,803.226
64,808.085,,808.085
128,802.748,802.748,
255,804.156,,804.156
8,804.881,,804.881
16,801.526,801.526,
32,780.801,780.801,
64,801.868,801.868,
128,802.225,802.225,
255,803.266,,803.266
8,801.808,801.808,
16,806.593,,806.593
32,802.685,,802.685
64,793.593,793.593,
128,802.751,802.751,
255,806.315,,806.315
8,802.909,802.909,
16,805.181,,805.181
32,806.879,,806.879
64,803.446,,803.446
128,777.94,777.94,
255,802.405,802.405,
8,803.266,,803.266
16,806.85,,806.85
32,804.314,,804.314
64,774.537,774.537,
128,801.98,801.98,
255,802.627,802.627,
8,807.098,,807.098
16,805.142,,805.142
32,780.422,780.422,
64,803.472,,803.472
128,803.507,,803.507
255,804.182,,804.182
8,804.416,,804.416
16,804.71,,804.71
32,806.321,,806.321
64,803.158,803.158,
128,831.872,,831.872
255,782.356,782.356,
8,806.311,,806.311
16,805.568,,805.568
32,802.721,,802.721
64,803.494,,803.494
128,779.246,779.246,
255,804.589,,804.589
8,803.13,,803.13
16,804.214,,804.214
32,800.085,800.085,
64,805.555,,805.555
128,778.81,778.81,
255,780.055,780.055,
8,804.699,,804.699
16,806.092,,806.092
32,803.431,,803.431
64,806.372,,806.372
128,800.275,800.275,
255,780.645,780.645,
8,779.638,779.638,
16,805.052,,805.052
32,802.624,,802.624
64,802.047,802.047,
128,804.121,,804.121
255,802.324,802.324,
8,805.767,,805.767
16,804.942,,804.942
32,802.819,,802.819
64,803.7,,803.7
128,779.032,779.032,
255,802.327,802.327,
8,806.443,,806.443
16,803.768,,803.768
32,804.801,,804.801
64,808.03,,808.03
128,806.179,,806.179
255,804.721,,804.721
8,804.472,,804.472
16,804.75,,804.75
32,806.351,,806.351
64,781.613,781.613,
128,803.57,,803.57
255,809.245,,809.245
8,779.581,779.581,
16,806.096,,806.096
32,784.48,784.48,
64,805.285,,805.285
128,802.263,802.263,
255,803.622,,803.622
8,802.157,802.157,
16,803.642,,803.642
32,807.382,,807.382
64,803.651,,803.651
128,804.0,,804.0
255,807.593,,807.593
8,805.816,,805.816
16,804.433,,804.433
32,780.731,780.731,
64,803.587,,803.587
128,802.038,802.038,
255,802.314,802.314,
8,804.74,,804.74
16,802.347,,802.347
32,802.793,,802.793
64,802.846,802.846,
128,804.985,,804.985
255,803.925,,803.925
8,780.973,780.973,
16,802.673,,802.673
32,802.65,,802.65
64,805.397,,805.397
128,778.402,778.402,
255,803.996,,803.996
8,804.525,,804.525
16,803.35,,803.35
32,803.332,,803.332
64,796.343,796.343,
128,801.44,801.44,
255,802.646,802.646,
8,804.462,,804.462
16,780.172,780.172,
32,802.0,802.0,
64,807.874,,807.874
128,779.37,779.37,
255,803.874,,803.874
8,804.081,,804.081
16,802.074,,802.074
32,785.313,785.313,
64,803.85,,803.85
128,801.661,801.661,
255,780.958,780.958,
8,804.889,,804.889
16,781.101,781.101,
32,783.304,783.304,
64,799.144,799.144,
128,807.076,,807.076
255,808.223,,808.223
8,803.341,,803.341
16,800.748,800.748,
32,801.741,801.741,
64,803.746,,803.746
128,781.173,781.173,
255,779.551,779.551,
8,807.919,,807.919
16,802.867,,802.867
32,779.387,779.387,
64,778.898,778.898,
128,804.396,,804.396
255,803.303,,803.303
8,830.113,,830.113
16,811.113,,811.113
32,804.248,,804.248
64,808.281,,808.281
128,778.64,778.64,
255,805.102,,805.102
8,800.778,800.778,
16,802.07,,802.07
32,802.446,,802.446
64,805.873,,805.873
128,775.062,775.062,
255,802.288,802.288,
8,803.531,,803.531
16,802.004,,802.004
32,803.799,,803.799
64,781.343,781.343,
128,803.689,,803.689
255,803.494,,803.494
8,803.54,,803.54
16,801.388,801.388,
32,777.869,777.869,
64,802.28,802.28,
128,779.82,779.82,
255,800.912,800.912,
8,803.786,,803.786
16,800.555,800.555,
32,803.386,,803.386
64,805.728,,805.728
128,801.615,801.615,
255,802.31,802.31,
8,803.015,,803.015
16,802.948,,802.948
32,800.207,800.207,
64,804.601,,804.601
128,802.112,802.112,
255,803.276,,803.276
8,804.256,,804.256
16,786.531,786.531,
32,803.39,,803.39
64,803.671,,803.671
128,803.424,,803.424
255,804.759,,804.759
8,803.104,,803.104
16,782.408,782.408,
32,804.159,,804.159
64,805.754,,805.754
128,800.583,800.583,
255,804.493,,804.493
8,803.596,,803.596
16,803.587,,803.587
32,802.885,,802.885
64,801.627,801.627,
128,803.328,,803.328
255,802.888,,802.888
8,801.932,801.932,
16,801.188,801.188,
32,802.22,802.22,
64,782.026,782.026,
128,802.694,802.694,
255,801.604,801.604,
8,804.308,,804.308
16,803.298,,803.298
32,802.671,,802.671
64,802.182,802.182,
128,798.221,798.221,
255,803.718,,803.718
8,779.88,779.88,
16,778.004,778.004,
32,799.823,799.823,
64,803.415,,803.415
128,803.341,,803.341
255,803.903,,803.903
8,800.449,800.449,
16,780.256,780.256,
32,802.754,,802.754
64,800.645,800.645,
128,805.819,,805.819
255,781.23,781.23,
8,782.736,782.736,
16,804.994,,804.994
32,801.307,801.307,
64,802.085,802.085,
128,801.391,801.391,
255,798.526,798.526,
8,800.321,800.321,
16,803.255,,803.255
32,804.716,,804.716
64,801.379,801.379,
128,801.177,801.177,
255,801.713,801.713,
8,780.103,780.103,
16,802.49,,802.49
32,800.533,800.533,
64,803.883,,803.883
128,804.181,,804.181
255,806.902,,806.902
8,803.502,,803.502
16,805.63,,805.63
32,806.865,,806.865
64,800.307,800.307,
128,802.44,802.44,
255,802.483,802.483,
8,780.105,780.105,
16,804.192,,804.192
32,803.759,,803.759
64,803.31,,803.31
128,803.065,,803.065
255,802.618,802.618,
8,793.319,793.319,
16,784.564,784.564,
32,806.109,,806.109
64,776.979,776.979,
128,809.41,,809.41
255,804.144,,804.144
8,779.683,779.683,
16,779.27,779.27,
32,803.792,,803.792
64,802.878,802.878,
128,779.37,779.37,
255,779.256,779.256,
8,802.892,802.892,
16,804.261,,804.261
32,801.638,801.638,
64,801.754,801.754,
128,803.91,,803.91
255,803.667,,803.667
8,806.049,,806.049
16,802.417,,802.417
32,802.675,,802.675
64,801.763,801.763,
128,803.014,,803.014
255,780.158,780.158,
8,804.812,,804.812
16,781.102,781.102,
32,777.201,777.201,
64,805.718,,805.718
128,776.626,776.626,
255,779.078,779.078,
8,778.496,778.496,
16,801.202,801.202,
32,803.119,,803.119
64,778.627,778.627,
128,803.703,,803.703
255,804.395,,804.395
8,804.468,,804.468
16,801.896,801.896,
32,778.599,778.599,
64,805.129,,805.129
128,778.492,778.492,
255,803.818,,803.818
8,804.69,,804.69
16,802.475,,802.475
32,803.888,,803.888
64,801.888,801.888,
128,805.611,,805.611
255,804.788,,804.788
8,800.213,800.213,
16,808.709,,808.709
32,804.416,,804.416
64,804.536,,804.536
128,805.354,,805.354
255,800.561,800.561,
8,803.423,,803.423
16,800.459,800.459,
32,801.761,801.761,
64,803.456,,803.456
