SIB1 additional size (bytes),Time duration to transmit (milliseconds),BelowThreshold,AboveThreshold
128,805.353,,805.353
255,780.984,780.984,
8,804.844,,804.844
16,804.824,,804.824
32,804.699,,804.699
64,803.972,,803.972
128,788.585,788.585,
255,806.152,,806.152
8,809.107,,809.107
16,806.263,,806.263
32,804.157,,804.157
64,802.265,802.265,
128,803.374,,803.374
255,805.111,,805.111
8,805.838,,805.838
16,802.65,,802.65
32,806.278,,806.278
64,779.059,779.059,
128,803.83,,803.83
255,805.347,,805.347
8,804.608,,804.608
16,804.669,,804.669
32,784.712,784.712,
64,811.884,,811.884
128,806.092,,806.092
255,806.0,,806.0
8,802.775,802.775,
16,783.823,783.823,
32,783.261,783.261,
64,783.348,783.348,
128,782.549,782.549,
255,805.562,,805.562
8,805.168,,805.168
16,785.184,785.184,
32,805.656,,805.656
64,805.346,,805.346
128,807.543,,807.543
255,805.164,,805.164
8,800.362,800.362,
16,807.997,,807.997
32,783.242,783.242,
64,807.756,,807.756
128,805.19,,805.19
255,798.754,798.754,
8,806.778,,806.778
16,803.195,,803.195
32,784.704,784.704,
64,805.193,,805.193
128,797.491,797.491,
255,808.274,,808.274
8,784.858,784.858,
16,802.473,,802.473
32,804.322,,804.322
64,806.814,,806.814
128,802.998,,802.998
255,804.286,,804.286
8,781.613,781.613,
16,805.243,,805.243
32,798.355,798.355,
64,806.666,,806.666
128,783.628,783.628,
255,784.498,784.498,
8,800.557,800.557,
16,806.097,,806.097
32,804.806,,804.806
64,806.639,,806.639
128,800.898,800.898,
255,803.767,,803.767
8,806.747,,806.747
16,804.914,,804.914
32,802.808,,802.808
64,803.882,,803.882
128,806.632,,806.632
255,803.239,,803.239
8,805.094,,805.094
16,805.842,,805.842
32,782.247,782.247,
64,812.152,,812.152
128,805.912,,805.912
255,803.124,,803.124
8,804.005,,804.005
16,807.371,,807.371
32,805.533,,805.533
64,806.782,,806.782
128,805.927,,805.927
255,801.974,801.974,
8,803.498,,803.498
16,808.76,,808.76
32,783.489,783.489,
64,804.088,,804.088
